Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Research & Development,Department_Sales,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MonthlyIncome_log
35,No,Travel_Rarely,809,16,3,Medical,1,14,1,1,84,4,1,2,Married,2426.0,16479,0,Y,0,13,3,3,80,1,6,5,3,5,4,0,3,True,False,False,True,False,False,False,False,False,False,7.794411205726601
29,No,Travel_Rarely,153,15,2,Life Sciences,1,15,4,0,49,2,2,3,Single,4193.0,12682,0,Y,1,12,3,4,80,0,10,3,3,9,5,0,8,True,False,False,True,False,False,False,False,False,False,8.341410211461865
31,No,Travel_Rarely,670,26,1,Life Sciences,1,16,1,1,31,3,1,3,Divorced,2911.0,15170,1,Y,0,17,3,4,80,1,5,1,2,5,2,4,3,True,False,False,False,False,False,False,True,False,False,7.976595409316577
34,No,Travel_Rarely,1346,19,2,Medical,1,18,2,1,93,3,1,4,Divorced,2661.0,8758,0,Y,0,11,3,3,80,1,3,2,3,2,2,1,2,True,False,False,True,False,False,False,False,False,False,7.8868329989550565
28,Yes,Travel_Rarely,103,24,3,Life Sciences,1,19,3,1,50,2,1,3,Single,2028.0,12947,5,Y,1,14,3,2,80,0,6,4,3,4,2,0,3,True,False,False,True,False,False,False,False,False,False,7.615298339825815
29,No,Travel_Rarely,1389,21,4,Life Sciences,1,20,2,0,51,4,3,1,Divorced,9980.0,10195,1,Y,0,11,3,3,80,1,10,1,3,10,9,8,8,True,False,False,False,False,True,False,False,False,False,9.208438564686587
32,No,Travel_Rarely,334,5,2,Life Sciences,1,21,1,1,80,4,1,2,Divorced,3298.0,15053,0,Y,1,12,3,4,80,2,7,5,2,6,2,0,5,True,False,False,False,False,False,False,True,False,False,8.101374671228582
22,No,Non-Travel,1123,16,2,Medical,1,22,4,1,96,4,1,4,Divorced,2935.0,7324,1,Y,1,13,3,2,80,2,1,2,2,1,0,0,0,True,False,False,True,False,False,False,False,False,False,7.984803389734406
53,No,Travel_Rarely,1219,2,4,Life Sciences,1,23,1,0,78,2,4,4,Married,15427.0,22021,2,Y,0,16,3,3,80,0,31,3,3,25,8,3,7,False,True,False,False,True,False,False,False,False,False,9.643939319328119
38,No,Travel_Rarely,371,2,3,Life Sciences,1,24,4,1,45,3,1,4,Single,3944.0,4306,5,Y,1,11,3,3,80,0,6,3,3,3,2,1,2,True,False,False,False,False,False,False,True,False,False,8.280204233279974
24,No,Non-Travel,673,11,2,Other,1,26,1,0,96,4,2,3,Divorced,4011.0,8232,0,Y,0,18,3,4,80,1,5,5,2,4,2,1,3,True,False,False,False,False,True,False,False,False,False,8.297045149081827
36,Yes,Travel_Rarely,1218,9,4,Life Sciences,1,27,3,1,82,2,1,1,Single,3407.0,6986,7,Y,0,23,4,2,80,0,10,4,3,5,3,0,3,False,True,False,False,False,False,False,False,False,True,8.133880887949207
34,No,Travel_Rarely,419,7,4,Life Sciences,1,28,1,0,53,3,3,2,Single,11994.0,21293,0,Y,0,11,3,3,80,0,13,4,3,12,6,2,11,True,False,False,False,False,False,True,False,False,False,9.392245175273795
21,No,Travel_Rarely,391,15,2,Life Sciences,1,30,3,1,96,3,1,4,Single,1382.46,19281,1,Y,0,14,3,4,80,0,0,6,3,0,0,0,0,True,False,False,False,False,False,False,True,False,False,7.23234288662976
34,Yes,Travel_Rarely,699,6,1,Medical,1,31,2,1,83,3,1,1,Single,2960.0,17102,2,Y,0,11,3,3,80,0,8,2,3,4,2,1,3,True,False,False,False,False,False,False,True,False,False,7.993282328101591
53,No,Travel_Rarely,1282,5,3,Other,1,32,3,0,58,3,5,3,Divorced,19094.0,10735,4,Y,0,11,3,4,80,1,26,3,2,14,13,4,8,True,False,False,False,True,False,False,False,False,False,9.857181799659617
32,Yes,Travel_Frequently,1125,16,1,Life Sciences,1,33,2,0,72,1,1,1,Single,3919.0,4681,1,Y,1,22,4,2,80,0,10,5,3,10,2,6,7,True,False,False,False,False,False,False,True,False,False,8.273846932784508
42,No,Travel_Rarely,691,8,4,Marketing,1,35,3,1,48,3,2,2,Married,6825.0,21173,0,Y,0,11,3,4,80,1,10,2,3,9,7,4,2,False,True,False,False,False,False,False,False,True,False,8.828494129466652
44,No,Travel_Rarely,477,7,4,Medical,1,36,1,0,42,2,3,4,Married,10248.0,2094,3,Y,0,14,3,4,80,1,24,4,3,22,6,5,17,True,False,False,False,False,False,False,False,False,False,9.234935418831563
46,No,Travel_Rarely,705,2,4,Marketing,1,38,2,0,83,3,5,1,Single,18947.0,22822,3,Y,0,12,3,4,80,0,22,2,2,2,2,2,1,False,True,False,False,True,False,False,False,False,False,9.849453664043642
33,No,Travel_Rarely,924,2,3,Medical,1,39,3,1,78,3,1,4,Single,2496.0,6670,4,Y,0,11,3,4,80,0,7,3,3,1,1,0,0,True,False,False,True,False,False,False,False,False,False,7.822845290279774
44,No,Travel_Rarely,1459,10,4,Other,1,40,4,1,41,3,2,4,Married,6465.0,19121,2,Y,1,13,3,4,80,0,9,5,4,4,2,1,3,True,False,False,False,False,False,False,False,False,False,8.774312958285378
30,No,Travel_Rarely,125,9,2,Medical,1,41,4,1,83,2,1,3,Single,2206.0,16117,1,Y,0,13,3,1,80,0,10,5,3,10,0,1,8,True,False,False,True,False,False,False,False,False,False,7.699389406256737
39,Yes,Travel_Rarely,895,5,3,Technical Degree,1,42,4,1,56,3,2,4,Married,2086.0,3335,3,Y,0,14,3,3,80,1,19,6,4,1,0,0,0,False,True,False,False,False,False,False,False,False,True,7.643482907077201
24,Yes,Travel_Rarely,813,1,3,Medical,1,45,2,1,61,3,1,4,Married,2293.0,3020,2,Y,1,16,3,1,80,1,6,2,2,2,0,2,0,True,False,False,False,False,False,False,True,False,False,7.738052297689316
43,No,Travel_Rarely,1273,2,2,Medical,1,46,4,0,72,4,1,3,Divorced,2645.0,21923,1,Y,0,12,3,4,80,2,6,3,2,5,3,1,4,True,False,False,False,False,False,False,True,False,False,7.880804344674901
50,Yes,Travel_Rarely,869,3,2,Marketing,1,47,1,1,86,2,1,3,Married,2683.0,3810,1,Y,1,14,3,3,80,0,3,2,3,3,2,0,2,False,True,False,False,False,False,False,False,False,True,7.895063498091573
35,No,Travel_Rarely,890,2,3,Marketing,1,49,4,0,97,3,1,4,Married,2014.0,9687,1,Y,0,13,3,1,80,0,2,3,3,2,2,2,2,False,True,False,False,False,False,False,False,False,True,7.608374474380783
36,No,Travel_Rarely,852,5,4,Life Sciences,1,51,2,0,82,2,1,1,Married,3419.0,13072,9,Y,1,14,3,4,80,1,6,3,4,1,1,0,0,True,False,False,False,False,False,False,True,False,False,8.13739583005665
33,No,Travel_Frequently,1141,1,3,Life Sciences,1,52,3,0,42,4,2,1,Married,5376.0,3193,2,Y,0,19,3,1,80,2,10,3,3,5,3,1,3,False,True,False,False,False,False,False,False,True,False,8.589885876809678
35,No,Travel_Rarely,464,4,2,Other,1,53,3,1,75,3,1,4,Divorced,1951.0,10910,1,Y,0,12,3,3,80,1,1,3,3,1,0,0,0,True,False,False,True,False,False,False,False,False,False,7.5766097669730375
27,No,Travel_Rarely,1240,2,4,Life Sciences,1,54,4,0,33,3,1,1,Divorced,2341.0,19715,1,Y,0,13,3,4,80,1,1,6,3,1,0,0,0,True,False,False,True,False,False,False,False,False,False,7.758760544157663
26,Yes,Travel_Rarely,1357,25,3,Life Sciences,1,55,1,1,48,1,1,3,Single,2293.0,10558,1,Y,0,12,3,3,80,0,1,2,2,1,0,0,1,True,False,False,True,False,False,False,False,False,False,7.738052297689316
27,No,Travel_Frequently,994,8,3,Life Sciences,1,56,4,1,37,3,3,3,Single,8726.0,2975,1,Y,0,15,3,4,80,0,9,0,3,9,8,1,7,False,True,False,False,False,False,False,False,True,False,9.074176947163311
30,No,Travel_Frequently,721,1,2,Medical,1,57,3,0,58,3,2,4,Single,4011.0,10781,1,Y,0,23,4,4,80,0,12,2,3,12,8,3,7,True,False,False,True,False,False,False,False,False,False,8.297045149081827
41,Yes,Travel_Rarely,1360,12,3,Technical Degree,1,58,2,0,49,3,5,3,Married,19545.0,16280,1,Y,0,12,3,4,80,0,23,0,3,22,15,15,8,True,False,False,False,False,False,True,False,False,False,9.880525940898782
34,No,Non-Travel,1065,23,4,Marketing,1,60,2,1,72,3,2,3,Single,4568.0,10034,0,Y,0,20,4,3,80,0,10,2,3,9,5,8,7,False,True,False,False,False,False,False,False,True,False,8.427049641563272
37,No,Travel_Rarely,408,19,2,Life Sciences,1,61,2,1,73,3,1,2,Married,3022.0,10227,4,Y,0,21,4,1,80,0,8,1,3,1,0,0,0,True,False,False,False,False,False,False,True,False,False,8.014004994779459
46,No,Travel_Frequently,1211,5,4,Marketing,1,62,1,1,98,3,2,4,Single,5772.0,20445,4,Y,1,21,4,3,80,0,14,4,3,9,6,0,8,False,True,False,False,False,False,False,False,True,False,8.660947155060933
35,No,Travel_Rarely,1229,8,1,Life Sciences,1,63,4,1,36,4,1,4,Married,2269.0,4892,1,Y,0,19,3,4,80,0,1,2,3,1,0,0,1,True,False,False,True,False,False,False,False,False,False,7.727535110475448
48,Yes,Travel_Rarely,626,1,2,Life Sciences,1,64,1,1,98,2,3,3,Single,5381.0,19294,9,Y,1,13,3,4,80,0,23,2,3,1,0,0,0,True,False,False,True,False,False,False,False,False,False,8.590815331286851
28,Yes,Travel_Rarely,1434,5,4,Technical Degree,1,65,3,1,50,3,1,3,Single,3441.0,11179,1,Y,1,13,3,3,80,0,2,3,2,2,2,2,2,True,False,False,True,False,False,False,False,False,False,8.143807976771484
44,No,Travel_Rarely,1488,1,5,Marketing,1,68,2,0,75,3,2,1,Divorced,5454.0,4009,5,Y,1,21,4,3,80,1,9,2,2,4,3,1,3,False,True,False,False,False,False,False,False,True,False,8.604287898267172
35,No,Non-Travel,1097,11,2,Medical,1,70,3,1,79,2,3,1,Married,9884.0,8302,2,Y,1,13,3,3,80,1,10,3,3,4,0,2,3,True,False,False,False,False,False,False,False,False,False,9.198773735604718
26,No,Travel_Rarely,1443,23,3,Marketing,1,72,3,0,47,2,2,4,Married,4157.0,21436,7,Y,1,19,3,3,80,1,5,2,2,2,2,0,0,False,True,False,False,False,False,False,False,True,False,8.332789468417959
33,No,Travel_Frequently,515,1,2,Life Sciences,1,73,1,0,98,3,3,4,Single,13458.0,15146,1,Y,1,12,3,3,80,0,15,1,3,15,14,8,12,True,False,False,False,False,False,True,False,False,False,9.507403306233716
35,No,Travel_Frequently,853,18,5,Life Sciences,1,74,2,1,71,3,3,1,Married,9069.0,11031,1,Y,0,22,4,4,80,1,9,3,2,9,8,1,8,False,True,False,False,False,False,False,False,True,False,9.112727543109182
35,No,Travel_Rarely,1142,23,4,Medical,1,75,3,0,30,3,1,1,Married,4014.0,16002,3,Y,1,15,3,3,80,1,4,3,3,2,2,2,2,True,False,False,True,False,False,False,False,False,False,8.297792626380861
31,No,Travel_Rarely,655,7,4,Life Sciences,1,76,4,1,48,3,2,4,Divorced,5915.0,9528,3,Y,0,22,4,4,80,1,10,3,2,7,7,1,7,True,False,False,True,False,False,False,False,False,False,8.68541582383069
37,No,Travel_Rarely,1115,1,4,Life Sciences,1,77,1,1,51,2,2,3,Divorced,5993.0,2689,1,Y,0,18,3,3,80,1,7,2,4,7,5,0,7,True,False,False,False,False,True,False,False,False,False,8.69851424787661
32,No,Travel_Rarely,427,1,3,Medical,1,78,1,1,33,3,2,4,Married,6162.0,10877,1,Y,1,22,4,2,80,1,9,3,3,9,8,7,8,True,False,False,False,False,True,False,False,False,False,8.726318950962243
38,No,Travel_Frequently,653,29,5,Life Sciences,1,79,4,0,50,3,2,4,Single,2406.0,5456,1,Y,0,11,3,4,80,0,10,2,3,10,3,9,9,True,False,False,True,False,False,False,False,False,False,7.786136437783072
50,No,Travel_Rarely,989,7,2,Medical,1,80,2,0,43,2,5,3,Divorced,18740.0,16701,5,Y,1,12,3,4,80,1,29,2,2,27,3,13,8,True,False,False,False,False,False,True,False,False,False,9.838468916161679
59,No,Travel_Rarely,1435,25,3,Life Sciences,1,81,1,0,99,3,3,1,Single,7637.0,2354,7,Y,0,11,3,4,80,0,28,3,2,21,16,7,9,False,True,False,False,False,False,False,False,True,False,8.940891067785461
36,No,Travel_Rarely,1223,8,3,Technical Degree,1,83,3,0,59,3,3,3,Divorced,10096.0,8202,1,Y,0,13,3,2,80,3,17,2,3,17,14,12,8,True,False,False,False,False,False,False,False,False,False,9.219993629004321
55,No,Travel_Rarely,836,8,3,Medical,1,84,4,0,33,3,4,3,Divorced,14756.0,19730,2,Y,1,14,3,3,80,3,21,2,3,5,0,0,2,True,False,False,False,True,False,False,False,False,False,9.59947282546345
36,No,Travel_Frequently,1195,11,3,Life Sciences,1,85,2,1,95,2,2,2,Single,6499.0,22656,1,Y,0,13,3,3,80,0,6,3,3,6,5,0,3,True,False,False,False,False,True,False,False,False,False,8.779557455883728
45,No,Travel_Rarely,1339,7,3,Life Sciences,1,86,2,1,59,3,3,1,Divorced,9724.0,18787,2,Y,0,17,3,3,80,1,25,2,3,1,0,0,0,True,False,False,False,False,False,False,True,False,False,9.182455168486648
35,No,Travel_Frequently,664,1,3,Medical,1,88,2,1,79,3,1,1,Married,2194.0,5868,4,Y,0,13,3,4,80,1,5,2,2,3,2,1,2,True,False,False,False,False,False,False,True,False,False,7.693937325509272
36,Yes,Travel_Rarely,318,9,3,Medical,1,90,4,1,79,2,1,3,Married,3388.0,21777,0,Y,1,17,3,1,80,1,2,0,2,1,0,0,0,True,False,False,False,False,False,False,True,False,False,8.128290171607052
59,No,Travel_Frequently,1225,1,1,Life Sciences,1,91,1,0,57,2,2,3,Single,5473.0,24668,7,Y,0,11,3,4,80,0,20,2,2,4,3,1,3,False,True,False,False,False,False,False,False,True,False,8.607764889600624
29,No,Travel_Rarely,1328,2,3,Life Sciences,1,94,3,1,76,3,1,2,Married,2703.0,4956,0,Y,0,23,4,4,80,1,6,3,3,5,4,0,4,True,False,False,False,False,False,False,True,False,False,7.902487437162855
31,No,Travel_Rarely,1082,1,4,Medical,1,95,3,1,87,3,1,2,Single,2501.0,18775,1,Y,0,17,3,2,80,0,1,4,3,1,1,1,0,True,False,False,False,False,False,False,True,False,False,7.824845691026856
32,No,Travel_Rarely,548,1,3,Life Sciences,1,96,2,1,66,3,2,2,Married,6220.0,7346,1,Y,0,17,3,2,80,2,10,3,3,10,4,0,9,True,False,False,False,False,False,False,True,False,False,8.73568594451502
36,No,Travel_Rarely,132,6,3,Life Sciences,1,97,2,0,55,4,1,4,Married,3038.0,22002,3,Y,0,12,3,2,80,0,5,3,3,1,0,0,0,True,False,False,True,False,False,False,False,False,False,8.019283792916793
31,No,Travel_Rarely,746,8,4,Life Sciences,1,98,3,0,61,3,2,4,Single,4424.0,20682,1,Y,0,23,4,4,80,0,11,2,3,11,7,1,8,True,False,False,False,False,True,False,False,False,False,8.39502555744203
35,No,Travel_Rarely,776,1,4,Marketing,1,100,3,1,32,2,2,1,Single,4312.0,23016,0,Y,0,14,3,2,80,0,16,2,3,15,13,2,8,False,True,False,False,False,False,False,False,True,False,8.369388996647842
45,No,Travel_Rarely,193,6,4,Other,1,101,4,1,52,3,3,1,Married,13245.0,15067,4,Y,1,14,3,2,80,0,17,3,4,0,0,0,0,True,False,False,False,False,False,True,False,False,False,9.491450899044924
37,No,Travel_Rarely,397,7,4,Medical,1,102,1,1,30,3,3,3,Single,13664.0,25258,4,Y,0,13,3,1,80,0,16,3,4,5,2,0,2,True,False,False,False,False,False,True,False,False,False,9.522593098362169
46,No,Travel_Rarely,945,5,2,Medical,1,103,2,1,80,3,2,2,Divorced,5021.0,10425,8,Y,1,22,4,4,80,1,16,2,3,4,2,0,2,False,False,True,False,False,False,False,False,False,False,8.52158353971753
30,No,Travel_Rarely,852,1,1,Life Sciences,1,104,4,1,55,2,2,4,Married,5126.0,15998,1,Y,1,12,3,3,80,2,10,1,2,10,8,3,0,True,False,False,True,False,False,False,False,False,False,8.5422759717837
35,No,Travel_Rarely,1214,1,3,Medical,1,105,2,1,30,2,1,3,Single,2859.0,26278,1,Y,0,18,3,1,80,0,6,3,3,6,4,0,4,True,False,False,False,False,False,False,True,False,False,7.958576903813898
55,No,Travel_Rarely,111,1,2,Life Sciences,1,106,1,1,70,3,3,4,Married,10239.0,18092,3,Y,0,14,3,4,80,1,24,4,3,1,0,1,0,False,True,False,False,False,False,False,False,True,False,9.234056898593499
38,No,Non-Travel,573,6,3,Medical,1,107,2,0,79,1,2,4,Divorced,5329.0,15717,7,Y,1,12,3,4,80,3,17,3,3,13,11,1,9,True,False,False,False,False,False,False,True,False,False,8.58110651715989
34,No,Travel_Rarely,1153,1,2,Medical,1,110,1,1,94,3,2,2,Married,4325.0,17736,1,Y,0,15,3,3,80,0,5,2,3,5,2,1,3,True,False,False,False,False,True,False,False,False,False,8.372398606513004
56,No,Travel_Rarely,1400,7,3,Life Sciences,1,112,4,1,49,1,3,4,Single,7260.0,21698,4,Y,0,11,3,1,80,0,37,3,2,6,4,0,2,True,False,False,False,False,True,False,False,False,False,8.890272839380247
23,No,Travel_Rarely,541,2,1,Technical Degree,1,113,3,1,62,3,1,1,Divorced,2322.0,9518,3,Y,0,13,3,3,80,1,3,3,3,0,0,0,0,False,True,False,False,False,False,False,False,False,True,7.750614732770409
51,No,Travel_Rarely,432,9,4,Life Sciences,1,116,4,1,96,3,1,4,Married,2075.0,18725,3,Y,0,23,4,2,80,2,10,4,3,4,2,0,3,True,False,False,True,False,False,False,False,False,False,7.638198244285779
30,No,Travel_Rarely,288,2,3,Life Sciences,1,117,3,1,99,2,2,4,Married,4152.0,15830,1,Y,0,19,3,1,80,3,11,3,3,11,10,10,8,True,False,False,False,False,False,False,False,False,False,8.331586243630754
46,Yes,Travel_Rarely,669,9,2,Medical,1,118,3,1,64,2,3,4,Single,9619.0,13596,1,Y,0,16,3,4,80,0,9,3,3,9,8,4,7,False,True,False,False,False,False,False,False,True,False,9.171599543659752
40,No,Travel_Frequently,530,1,4,Life Sciences,1,119,3,1,78,2,4,2,Married,13503.0,14115,1,Y,0,22,4,4,80,1,22,3,2,22,3,11,11,True,False,False,False,False,False,False,False,False,False,9.510741216835738
51,No,Travel_Rarely,632,21,4,Marketing,1,120,3,1,71,3,2,4,Single,5441.0,8423,0,Y,1,22,4,4,80,0,11,2,1,10,7,1,0,False,True,False,False,False,False,False,False,True,False,8.601901919343192
30,No,Travel_Rarely,1334,4,2,Medical,1,121,3,0,63,2,2,2,Divorced,5209.0,19760,1,Y,1,12,3,2,80,3,11,4,2,11,8,2,7,False,True,False,False,False,False,False,False,True,False,8.558335134747413
46,No,Travel_Frequently,638,1,3,Medical,1,124,3,1,40,2,3,1,Married,10673.0,3142,2,Y,1,13,3,3,80,1,21,5,2,10,9,9,5,True,False,False,False,False,False,False,False,False,False,9.27556615689389
32,No,Travel_Rarely,1093,6,4,Medical,1,125,2,1,87,3,2,3,Single,5010.0,24301,1,Y,0,16,3,1,80,0,12,0,3,11,8,5,7,False,True,False,False,False,False,False,False,True,False,8.519390774959724
54,No,Travel_Rarely,1217,2,4,Technical Degree,1,126,1,0,60,3,3,3,Married,13549.0,24001,9,Y,0,12,3,1,80,1,16,5,1,4,3,0,3,True,False,False,False,False,False,True,False,False,False,9.514141826307847
24,No,Travel_Rarely,1353,3,2,Other,1,128,1,0,33,3,2,3,Married,4999.0,17519,0,Y,0,21,4,1,80,1,4,2,2,3,2,0,2,False,True,False,False,False,False,False,False,True,False,8.517193191416238
28,No,Non-Travel,120,4,3,Medical,1,129,2,1,43,3,2,3,Married,4221.0,8863,1,Y,0,15,3,2,80,0,5,3,4,5,4,0,4,False,True,False,False,False,False,False,False,True,False,8.348064228408266
58,No,Travel_Rarely,682,10,4,Medical,1,131,4,1,37,3,4,3,Single,13872.0,24409,0,Y,0,13,3,3,80,0,38,1,2,31,10,1,8,False,True,False,False,False,False,False,False,True,False,9.537699784080726
44,No,Non-Travel,489,23,3,Medical,1,132,2,1,67,3,2,2,Married,2042.0,25043,4,Y,0,12,3,3,80,1,17,3,4,3,2,1,2,True,False,False,True,False,False,False,False,False,False,7.622174594817622
37,Yes,Travel_Rarely,807,6,4,Human Resources,1,133,3,1,63,3,1,1,Divorced,2073.0,23648,4,Y,1,22,4,4,80,0,7,3,3,3,2,0,2,False,False,True,False,False,False,False,False,False,False,7.637234388789473
32,No,Travel_Rarely,827,1,1,Life Sciences,1,134,4,1,71,3,1,1,Single,2956.0,15178,1,Y,0,13,3,4,80,0,1,2,3,1,0,0,0,True,False,False,False,False,False,False,True,False,False,7.9919305198524775
20,Yes,Travel_Frequently,871,6,3,Life Sciences,1,137,4,0,66,2,1,4,Single,2926.0,19783,1,Y,1,18,3,2,80,0,1,5,3,1,0,1,0,True,False,False,True,False,False,False,False,False,False,7.9817332866918855
34,No,Travel_Rarely,665,6,4,Other,1,138,1,0,41,3,2,3,Single,4809.0,12482,1,Y,0,14,3,3,80,0,16,3,3,16,13,2,10,True,False,False,False,False,False,False,True,False,False,8.478452363099807
37,No,Non-Travel,1040,2,2,Life Sciences,1,139,3,1,100,2,2,4,Divorced,5163.0,15850,5,Y,0,14,3,4,80,1,17,2,4,1,0,0,0,True,False,False,False,False,False,False,False,False,False,8.549466751966532
59,No,Non-Travel,1420,2,4,Human Resources,1,140,3,0,32,2,5,4,Married,18844.0,21922,9,Y,0,21,4,4,80,1,30,3,3,3,2,2,2,False,False,False,False,True,False,False,False,False,False,9.844002905701236
50,No,Travel_Frequently,1115,1,3,Life Sciences,1,141,1,0,73,3,5,2,Married,18172.0,9755,3,Y,1,19,3,1,80,0,28,1,2,8,3,0,7,True,False,False,False,False,False,True,False,False,False,9.807692255081262
25,Yes,Travel_Rarely,240,5,3,Marketing,1,142,3,1,46,2,2,3,Single,5744.0,26959,1,Y,1,11,3,4,80,0,6,1,3,6,4,0,3,False,True,False,False,False,False,False,False,True,False,8.656085190282855
25,No,Travel_Rarely,1280,7,1,Medical,1,143,4,1,64,2,1,4,Married,2889.0,26897,1,Y,0,11,3,3,80,2,2,2,3,2,2,2,1,True,False,False,False,False,False,False,True,False,False,7.969011781106478
22,No,Travel_Rarely,534,15,3,Medical,1,144,2,0,59,3,1,4,Single,2871.0,23785,1,Y,0,15,3,3,80,0,1,5,3,0,0,0,0,True,False,False,True,False,False,False,False,False,False,7.962763930168115
51,No,Travel_Frequently,1456,1,4,Medical,1,145,1,0,30,2,3,1,Single,7484.0,25796,3,Y,0,20,4,3,80,0,23,1,2,13,12,12,8,True,False,False,False,False,False,False,False,False,False,8.920656296853728
34,Yes,Travel_Frequently,658,7,3,Life Sciences,1,147,1,1,66,1,2,3,Single,6074.0,22887,1,Y,1,24,4,4,80,0,9,3,3,9,7,0,6,True,False,False,True,False,False,False,False,False,False,8.711937268208748
54,No,Non-Travel,142,26,3,Human Resources,1,148,4,0,30,4,4,4,Single,17328.0,13871,2,Y,1,12,3,3,80,0,23,3,3,5,3,4,4,False,False,False,False,True,False,False,False,False,False,9.760136677640245
24,No,Travel_Rarely,1127,18,1,Life Sciences,1,150,2,1,52,3,1,3,Married,2774.0,13257,0,Y,0,12,3,3,80,1,6,2,3,5,3,1,2,True,False,False,True,False,False,False,False,False,False,7.928406026180535
34,No,Travel_Rarely,1031,6,4,Life Sciences,1,151,3,0,45,2,2,2,Divorced,4505.0,15000,6,Y,0,15,3,3,80,1,12,3,3,1,0,0,0,True,False,False,False,False,False,False,True,False,False,8.41316512099219
37,No,Travel_Rarely,1189,3,3,Life Sciences,1,152,3,1,87,3,3,4,Single,7428.0,14506,2,Y,0,12,3,1,80,0,12,3,3,5,3,1,3,False,True,False,False,False,False,False,False,True,False,8.913146539151807
34,No,Travel_Rarely,1354,5,3,Medical,1,153,3,0,45,2,3,1,Single,11631.0,5615,2,Y,0,12,3,4,80,0,14,6,3,11,10,5,8,True,False,False,False,True,False,False,False,False,False,9.3615151997733
36,No,Travel_Frequently,1467,11,2,Technical Degree,1,154,2,0,92,3,3,4,Married,9738.0,22952,0,Y,0,14,3,3,80,1,10,6,3,9,7,2,8,False,True,False,False,False,False,False,False,True,False,9.1838937219612
